Title,Component,Story,WCAG Rule,WCAG Level,Impact,Category,Status,Fix Description,Nodes
Update icon not keyboard focusable,VersionDisplay,,2.1.1 Keyboard,A,critical,Keyboard / Focus,Done,Wrapped ArrowUpCircle SVG in a button with aria-label,
Update icon fails color contrast,VersionDisplay,,1.4.3 Contrast,AA,moderate,Color Contrast,Done,Changed amber-500 to amber-700/amber-400 for dark mode,
Placeholder button has no accessible name,ThemeToggle,,"4.1.2 Name, Role, Value",A,serious,ARIA / Names,Done,Added aria-label and disabled to placeholder button,
Day selector uses visual-only radio buttons,DaySelector,,"4.1.2 Name, Role, Value",A,serious,ARIA / Names,Done,"Added role=radiogroup, role=radio, aria-checked",
Day selector has nested interactive controls,DaySelector,,"4.1.2 Name, Role, Value",A,serious,Markup / Semantics,Done,Moved checkboxes out of parent button into sibling div,
Nav landmarks not labeled,NavigationSidebar,,1.3.1 Info and Relationships,A,serious,Markup / Semantics,Done,Added aria-label to both nav elements,
Mobile menu has no ARIA attributes,NavigationSidebar,,"4.1.2 Name, Role, Value",A,moderate,ARIA / Names,Done,"Added role=dialog, aria-modal, aria-label, aria-hidden",
Page selection state not communicated,PagePickerDialog,,"4.1.2 Name, Role, Value",A,serious,ARIA / Names,Done,"Added role=listbox/option, aria-selected, focus-visible styles",
Board display has no text alternative,BoardDisplay,,1.1.1 Non-text Content,A,serious,ARIA / Names,Done,"Added role=img with descriptive aria-label, aria-hidden on inner grid",
Page grid buttons lack selection state,PageGridSelector,,"4.1.2 Name, Role, Value",A,moderate,ARIA / Names,Done,Added aria-pressed to page buttons,
Silence mode text fails contrast,ActivePageDisplay,,1.4.3 Contrast,AA,moderate,Color Contrast,Done,Changed blue-500 to blue-600/blue-400 for dark mode,
Status dot too small for touch target,ServiceStatus,,2.5.8 Target Size,AA,minor,Keyboard / Focus,Done,Increased hit area to 24px while keeping 12px visual dot,
CardTitle renders as div not heading,Card,,1.3.1 Info and Relationships,A,moderate,Markup / Semantics,Done,Changed CardTitle from div to h3 element,
Scroll area viewport not keyboard accessible,ScrollArea,,2.1.1 Keyboard,A,serious,Keyboard / Focus,Done,Added tabIndex=0 and focus-visible styles to viewport,
Timezone picker dropdown button has no name,TimezonePicker,,"4.1.2 Name, Role, Value",A,serious,ARIA / Names,Done,"Added aria-label, role=combobox, aria-expanded",
Storybook stories lack main landmark,Storybook Preview,,landmark-one-main,Best Practice,moderate,Markup / Semantics,Done,Changed preview decorator wrapper from div to main,
Mobile menu needs focus trap,NavigationSidebar,,2.1.2 No Keyboard Trap,A,serious,Keyboard / Focus,Not started,Need to implement focus trapping and focus restore on mobile menu open/close,
Add stories for TipTap editor components,TipTapTemplateEditor,,Story Coverage,N/A,moderate,Story Coverage,Not started,"Complex component with toolbar, node views - needs stories for a11y scanning",
Add stories for wizard components,SetupWizard,,Story Coverage,N/A,moderate,Story Coverage,Not started,Wizard steps need stories for a11y scanning,
